Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
10, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Stop, white, 5, 6, -8, Go, , 
10, 6, green, 5, 5, -10, Go, red, 5, 2, -10, Go, white, 5, 7, -10, Go, , 
10, 7, green, 6, 5, -12, Go, red, 5, 3, -12, Stop, white, 5, 8, -12, Go, , 
10, 8, green, 7, 5, -14, Go, red, 5, 3, -14, Go, white, 5, 9, -14, Exited, , 
10, 9, green, 8, 5, -16, Go, red, 5, 4, -16, Go, ,,,,, , 
10, 10, green, 9, 5, -18, Exited, red, 5, 5, -18, Go, ,,,,, , 
10, 11, ,,,,, red, 5, 6, -20, Go, ,,,,, , 
10, 12, ,,,,, red, 5, 7, -22, Go, ,,,,, , 
10, 13, ,,,,, red, 5, 8, -24, Go, ,,,,, , 
10, 14, ,,,,, red, 5, 9, -26, Exited, ,,,,, , 


