Time_stamp,green_car_x,green_car_y,green_car_reward,red_car_x,red_car_y,red_car_reward,white_car_x,white_car_y,white_car_reward,green_car_decision,red_car_decision,white_car_decision,Simulation
1,,,,,,,,,,,,,8
1,,,,,,,,,,,,,8
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,9
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,9
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,9
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,9
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,9
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,9
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,9
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,9
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,9
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,9
1,,,,,,,,,,,,,9
1,,,,,,,,,,,,,9
1,,,,,,,,,,,,,9
1,,,,,,,,,,,,,9
1,,,,,,,,,,,,,9
1,,,,,,,,,,,,,9
1,,,,,,,,,,,,,9
1,,,,,,,,,,,,,9
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,10
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,10
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,10
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,10
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,10
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,10
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,10
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,10
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,10
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,10
1,,,,,,,,,,,,,10
1,,,,,,,,,,,,,10
1,,,,,,,,,,,,,10
1,,,,,,,,,,,,,10
1,,,,,,,,,,,,,10
1,,,,,,,,,,,,,10
1,,,,,,,,,,,,,10
1,,,,,,,,,,,,,10
1,,,,,,,,,,,,,10
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,11
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,11
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,11
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,11
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,11
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,11
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,11
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,11
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,11
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,11
1,,,,,,,,,,,,,11
1,,,,,,,,,,,,,11
1,,,,,,,,,,,,,11
1,,,,,,,,,,,,,11
1,,,,,,,,,,,,,11
1,,,,,,,,,,,,,11
1,,,,,,,,,,,,,11
1,,,,,,,,,,,,,11
1,,,,,,,,,,,,,11
1,,,,,,,,,,,,,11
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,12
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,12
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,12
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,12
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,12
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,12
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,12
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,12
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,12
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,12
1,,,,,,,,,,,,,12
1,,,,,,,,,,,,,12
1,,,,,,,,,,,,,12
1,,,,,,,,,,,,,12
1,,,,,,,,,,,,,12
1,,,,,,,,,,,,,12
1,,,,,,,,,,,,,12
1,,,,,,,,,,,,,12
1,,,,,,,,,,,,,12
1,,,,,,,,,,,,,12
1,,,,,,,,,,,,,12
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,13
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,13
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,13
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,13
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,13
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,13
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,13
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,13
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,13
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,13
1,,,,,,,,,,,,,13
1,,,,,,,,,,,,,13
1,,,,,,,,,,,,,13
1,,,,,,,,,,,,,13
1,,,,,,,,,,,,,13
1,,,,,,,,,,,,,13
1,,,,,,,,,,,,,13
1,,,,,,,,,,,,,13
1,,,,,,,,,,,,,13
1,,,,,,,,,,,,,13
1,,,,,,,,,,,,,13
1,,,,,,,,,,,,,13
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,14
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,14
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,14
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,14
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,14
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,14
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,14
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,14
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,14
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,14
1,,,,,,,,,,,,,14
1,,,,,,,,,,,,,14
1,,,,,,,,,,,,,14
1,,,,,,,,,,,,,14
1,,,,,,,,,,,,,14
1,,,,,,,,,,,,,14
1,,,,,,,,,,,,,14
1,,,,,,,,,,,,,14
1,,,,,,,,,,,,,14
1,,,,,,,,,,,,,14
1,,,,,,,,,,,,,14
1,,,,,,,,,,,,,14
1,,,,,,,,,,,,,14
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,15
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,15
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,15
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,15
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,15
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,15
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,15
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,15
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,15
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,15
1,,,,,,,,,,,,,15
1,,,,,,,,,,,,,15
1,,,,,,,,,,,,,15
1,,,,,,,,,,,,,15
1,,,,,,,,,,,,,15
1,,,,,,,,,,,,,15
1,,,,,,,,,,,,,15
1,,,,,,,,,,,,,15
1,,,,,,,,,,,,,15
1,,,,,,,,,,,,,15
1,,,,,,,,,,,,,15
1,,,,,,,,,,,,,15
1,,,,,,,,,,,,,15
1,,,,,,,,,,,,,15
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,16
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,16
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,16
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,16
