Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
17, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
17, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
17, 4, green, 4, 5, -6, Go, red, 5, 3, -6, Go, , 
17, 5, green, 5, 5, -8, Go, red, 5, 4, -8, Go, , 
17, 6, green, 6, 5, -10, Go, red, 5, 5, -10, Go, , 
17, 7, green, 7, 5, -12, Go, red, 5, 6, -12, Go, , 
17, 8, green, 8, 5, -14, Go, red, 5, 7, -14, Go, , 
17, 9, green, 9, 5, -16, Exited, red, 5, 8, -16, Go, , 
17, 10, ,,,,, red, 5, 9, -18, Exited, , 


18, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
18, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
18, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
18, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
18, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
18, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
18, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
18, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, , 
18, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, , 
18, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Go, , 
18, 11, green, 4, 5, -20, Stop, red, 5, 5, -20, Go, , 
18, 12, green, 4, 5, -22, Go, red, 5, 6, -22, Go, , 
18, 13, green, 5, 5, -24, Go, red, 5, 7, -24, Go, , 
18, 14, green, 6, 5, -26, Go, red, 5, 8, -26, Go, , 
18, 15, green, 7, 5, -28, Go, red, 5, 9, -28, Exited, , 
18, 16, green, 8, 5, -30, Go, ,,,,, , 
18, 17, green, 9, 5, -32, Exited, ,,,,, , 


19, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
19, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
19, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
19, 4, green, 4, 5, -6, Go, red, 5, 3, -6, Go, , 
19, 5, green, 5, 5, -8, Go, red, 5, 4, -8, Go, , 
