Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
10, 17, green, 4, 5, -32, Go, red, 5, 6, -32, Go, , 
10, 18, green, 5, 5, -34, Go, red, 5, 7, -34, Go, , 
10, 19, green, 6, 5, -36, Go, red, 5, 8, -36, Go, , 
10, 20, green, 7, 5, -38, Go, red, 5, 9, -38, Exited, , 
10, 21, green, 8, 5, -40, Exited, ,,,,, , 


11, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
11, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
11, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
11, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
11, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
11, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
11, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
11, 8, green, 4, 5, -14, Go, red, 5, 4, -14, Stop, , 
11, 9, green, 5, 5, -16, Go, red, 5, 4, -16, Go, , 
11, 10, green, 6, 5, -18, Go, red, 5, 5, -18, Go, , 
11, 11, green, 7, 5, -20, Go, red, 5, 6, -20, Go, , 
11, 12, green, 8, 5, -22, Go, red, 5, 7, -22, Go, , 
11, 13, green, 9, 5, -24, Exited, red, 5, 8, -24, Go, , 
11, 14, ,,,,, red, 5, 9, -26, Exited, , 


12, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
12, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, , 
12, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, , 
12, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, , 
12, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Stop, , 
12, 6, green, 5, 5, -10, Go, red, 5, 2, -10, Go, , 
12, 7, green, 6, 5, -12, Go, red, 5, 3, -12, Go, , 
12, 8, green, 7, 5, -14, Go, red, 5, 4, -14, Go, , 
12, 9, green, 8, 5, -16, Go, red, 5, 5, -16, Go, , 
12, 10, green, 9, 5, -18, Exited, red, 5, 6, -18, Go, , 
12, 11, ,,,,, red, 5, 7, -20, Go, , 
12, 12, ,,,,, red, 5, 8, -22, Go, , 
12, 13, ,,,,, red, 5, 9, -24, Exited, , 


13, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
13, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
13, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
13, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
13, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
13, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
13, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
13, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, , 
13, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, , 
13, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Stop, , 
13, 11, green, 4, 5, -20, Stop, red, 5, 4, -20, Stop, , 
13, 12, green, 4, 5, -22, Stop, red, 5, 4, -22, Stop, , 
13, 13, green, 4, 5, -24, Stop, red, 5, 4, -24, Stop, , 
13, 14, green, 4, 5, -26, Stop, red, 5, 4, -26, Go, , 
13, 15, green, 4, 5, -28, Stop, red, 5, 5, -28, Go, , 
13, 16, green, 4, 5, -30, Go, red, 5, 6, -30, Go, , 
13, 17, green, 5, 5, -32, Go, red, 5, 7, -32, Go, , 
13, 18, green, 6, 5, -34, Go, red, 5, 8, -34, Go, , 
13, 19, green, 7, 5, -36, Go, red, 5, 9, -36, Exited, , 
13, 20, green, 8, 5, -38, Go, ,,,,, , 
13, 21, green, 9, 5, -40, Exited, ,,,,, , 



14, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
14, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
14, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
14, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
14, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
14, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
14, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
14, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, , 
14, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, , 
14, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Stop, , 
14, 11, green, 4, 5, -20, Stop, red, 5, 4, -20, Stop, , 
14, 12, green, 4, 5, -22, Stop, red, 5, 4, -22, Stop, , 
14, 13, green, 4, 5, -24, Stop, red, 5, 4, -24, Stop, , 
14, 14, green, 4, 5, -26, Stop, red, 5, 4, -26, Stop, , 
14, 15, green, 4, 5, -28, Stop, red, 5, 4, -28, Stop, , 
14, 16, green, 4, 5, -30, Stop, red, 5, 4, -30, Stop, , 
14, 17, green, 4, 5, -32, Stop, red, 5, 4, -32, Go, , 
14, 18, green, 4, 5, -34, Stop, red, 5, 5, -34, Go, , 
14, 19, green, 4, 5, -36, Go, red, 5, 6, -36, Go, , 
14, 20, green, 5, 5, -38, Go, red, 5, 7, -38, Go, , 
14, 21, green, 6, 5, -40, Exited, red, 5, 8, -40, Exited, , 


15, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
15, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
15, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
15, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Stop, , 
15, 5, green, 4, 5, -8, Stop, red, 5, 3, -8, Go, , 
15, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
15, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
15, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, , 
15, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, , 
15, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Stop, , 
15, 11, green, 4, 5, -20, Stop, red, 5, 4, -20, Stop, , 
15, 12, green, 4, 5, -22, Stop, red, 5, 4, -22, Stop, , 
15, 13, green, 4, 5, -24, Stop, red, 5, 4, -24, Stop, , 
15, 14, green, 4, 5, -26, Stop, red, 5, 4, -26, Go, , 
15, 15, green, 4, 5, -28, Stop, red, 5, 5, -28, Go, , 
15, 16, green, 4, 5, -30, Go, red, 5, 6, -30, Go, , 
15, 17, green, 5, 5, -32, Go, red, 5, 7, -32, Go, , 
15, 18, green, 6, 5, -34, Go, red, 5, 8, -34, Go, , 
15, 19, green, 7, 5, -36, Go, red, 5, 9, -36, Exited, , 
15, 20, green, 8, 5, -38, Go, ,,,,, , 
15, 21, green, 9, 5, -40, Exited, ,,,,, , 



16, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
16, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
16, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
16, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, , 
16, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
16, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
16, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
16, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, , 
16, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, , 
16, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Stop, , 
16, 11, green, 4, 5, -20, Stop, red, 5, 4, -20, Stop, , 
16, 12, green, 4, 5, -22, Stop, red, 5, 4, -22, Stop, , 
16, 13, green, 4, 5, -24, Stop, red, 5, 4, -24, Go, , 
16, 14, green, 4, 5, -26, Stop, red, 5, 5, -26, Go, , 
16, 15, green, 4, 5, -28, Go, red, 5, 6, -28, Go, , 
16, 16, green, 5, 5, -30, Go, red, 5, 7, -30, Go, , 
16, 17, green, 6, 5, -32, Go, red, 5, 8, -32, Go, , 
16, 18, green, 7, 5, -34, Go, red, 5, 9, -34, Exited, , 
16, 19, green, 8, 5, -36, Go, ,,,,, , 
16, 20, green, 9, 5, -38, Exited, ,,,,, , 


17, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
17, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
